Region,Country,City,mean_PM10,Year,Number and location,Temporal coverage,Reference,,,,,,,,,,,,,,,,,,
,,,ug/m3,, of stations,(%),,,,,,,,,,,,,,,,,,,
AmrHI,Canada,Port Stanley,20,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Powell River ,8,2008,3 unknown stations,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Prince Albert,11,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Prince George,19,2008,"1 Urban residential, 1 urban commercial and 1 unknown stations",NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Québec,22,2008,4 Urban Residential stations,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Quesnel,16,2008,3 Urban residential stations,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Red Deer,13,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Regina,21,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Revelstoke,17,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Rouyn-noranda,28,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Saint Jean sur Richelieu,27,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Saint John,19,2008,2 Urban residential station stations,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Sarnia,34,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Saskatoon,12,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Senneterre,10,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Sherbrooke,18,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
